iter	Passed	Remaining
0	1	187
1	3	165
2	5	175
3	6	151
4	7	142
5	8	132
6	9	131
7	11	128
8	12	122
9	13	118
10	14	117
11	15	113
12	16	109
13	17	106
14	18	104
15	19	102
16	20	100
17	21	97
18	22	95
19	23	93
20	24	91
21	25	90
22	26	88
23	27	86
24	28	85
25	29	84
26	30	82
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	49	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	62	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	85	15
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
